item,min,max,in_integer_amounts,serving_size,calories,total_fat,sat_fat,trans_fat,punsat_fat,munsat_fat,chol,sodium,total_carb,total_fiber,sol_fib,unsol_fib,sugar,added_sugar,protein,potassium,magnesium,calcium,chloride,zinc,iron
constraint1,,,,,2400,200,,,,,,2300,400,35,,,,,180,,,,,,
direction1,,,,,<=,<=,,,,,,<=,<=,>=,,,,,>=,,,,,,
constraint2,,,,,,,,,,,,,,,,,,,300,,,,,,
direction2,,,,,,,,,,,,,,,,,,,<=,,,,,,
Grape Nuts,0,2,0,58,200,1,0,0,0.5,0,0,280,47,7,1,6,5,0,6,260,42,20,,,
Kind Breakfast Protein Bars - Dark Chocolate Cocoa,0,1,0,50,210,8,1.5,0,1.5,5,0,75,28,3,1.5,1.5,10,9,8,140,,,,,
Protein Shake,0,1,1,1,170,3,1,0,1,1,30,300,,3,,,1.5,0,30,300,,,,0,4
Chipolte Chicken,0,1,1,1,377,14,3,0,0,0,69,65,44,1,,,0,0,20,127,,,,,
Chili,0,1,1,1,290,10,3,,,,43,200,25,5,,,10,0,26,374,,,,,
Egg,0,10,1,1,70,5,2,0,1,2,186,71,0.5,0,0,0,0,0,6,69,,,,,
Dahi,0,2,0,227,170,8,4.5,0,,,35,135,18,0,0,0,17,0,11,550,,,,,
Blueberries,0,5,0,148,80,0.5,0,0,,,0,0,,4,,,15,0,1,110,,,,,
SlowMg,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,119,208,0,0
Sambucus Immune Gummy,0,2,1,1,10,0,0,0,0,0,0,7.5,1.5,0,0,0,1.5,1.5,0,0,0,0,0,3.75,0
KS Roasted Pistachios,0,2,0,28,170,14,1.5,0,,,0,160,8,3,,,2,0,6,285,31,30,,1,1
Apple,0,2,1,1 medium,80,0,0,0,0,0,0,0,22,3,,,16,0,0,186,9,0,0,0,0
Carrots,0,3,0,85 g,35,0,0,0,0,0,0,65,8,2,,,5,0,1,,,20,,,0.36
Belvita,0,4,1,1 cracker,57.5,2,0.125,0,0,0,0,50,9,0.5,0,0,3,2.75,0.75,0,0,0,0,0,0.45
Peanuts,0,2,0,30,170,15,2,0,,,0,120,6,3,,,0,0,8,192,0,27,0,0,0.3
Peanut Butter,0,2,0,2 Tbsp,190,16,3.5,0,,,0,80,8,3,,,4,2,7,192,0,18,0,,0.5
Everything Bagel Cod Fillet,0,4,1,1 piece,160,7,0.5,0,,,10,330,15,1,,,1,1,9,140,,20,,,0.5
Chicken Sausages,0,6,1,1 link,30,1.5,0.5,0,,,20,120,0,0,0,0,0,0,3,,,,,,0.72
Salmon Burger,0,3,1,1 patty,170,9,1,0,,,60,330,2,0,0,0,0,0,20,390,,20,,,0.7
Dave’s Killer Bread,0,2,1,1 slice,110,1.5,0,0,1,0,0,170,22,5,,,5,5,5,100,,0,,,1
Just Bare Lightly Breaded Chicken Strips,0,2,0,84 g,160,6,1,0,3,1.5,50,540,9,0,0,0,2,1,16,300,,10,,,
Broccoli,0,5,0,85 g,25,0,0,0,0,0,0,25,4,3,,,1,0,3,282,,52,,,0.7
Spinach,0,5,0,85 g,20,0,0,0,0,0,0,65,3,2,,,0,0,2,474,,84,,,2
Pure Protein Bar,0,1,1,1 bar,200,7,3,0,,,10,200,17,1,,,2,1,20,150,,110,,,0.7
